network_id,family_nodes,friend_nodes,family_active_nodes,friend_active_nodes,family_support,friend_support,initial_mfq,mfq_with_network,mfq_without_network,episode_number,p_connection_1
24,5,5,0,1,0,1,25,33,32,1,0.15
24,5,5,0,1,0,1,25,35,33,2,0.15
24,5,5,0,1,0,1,25,37,35,3,0.15
24,5,5,0,1,0,1,25,37,36,4,0.15
24,5,5,0,1,0,1,25,37,36,5,0.15
24,5,5,0,1,0,1,25,38,36,6,0.15
24,5,5,0,1,0,1,25,38,39,7,0.15
24,5,5,0,1,0,1,25,37,36,8,0.15
24,5,5,0,1,0,1,25,38,36,9,0.15
24,5,5,0,1,0,1,25,37,37,10,0.15
25,6,3,0,0,0,0,33,33,33,0,0.15
25,6,3,0,0,0,0,33,43,44,1,0.15
25,6,3,0,0,0,0,33,46,46,2,0.15
25,6,3,0,0,0,0,33,48,47,3,0.15
25,6,3,0,0,0,0,33,49,48,4,0.15
25,6,3,0,0,0,0,33,46,48,5,0.15
25,6,3,0,0,0,0,33,49,49,6,0.15
25,6,3,0,0,0,0,33,47,48,7,0.15
25,6,3,0,0,0,0,33,48,49,8,0.15
25,6,3,0,0,0,0,33,47,47,9,0.15
25,6,3,0,0,0,0,33,45,48,10,0.15
26,9,7,1,1,1,1,57,57,57,0,0.15
26,9,7,1,1,1,1,57,66,66,1,0.15
26,9,7,1,1,1,1,57,66,66,2,0.15
26,9,7,1,1,1,1,57,66,66,3,0.15
26,9,7,1,1,1,1,57,66,66,4,0.15
26,9,7,1,1,1,1,57,66,66,5,0.15
26,9,7,1,1,1,1,57,66,66,6,0.15
26,9,7,1,1,1,1,57,66,66,7,0.15
26,9,7,1,1,1,1,57,66,66,8,0.15
26,9,7,1,1,1,1,57,66,66,9,0.15
26,9,7,1,1,1,1,57,66,66,10,0.15
27,2,10,0,0,0,0,0,0,0,0,0.15
27,2,10,0,0,0,0,0,0,0,1,0.15
27,2,10,0,0,0,0,0,1,0,2,0.15
27,2,10,0,0,0,0,0,2,1,3,0.15
27,2,10,0,0,0,0,0,0,0,4,0.15
27,2,10,0,0,0,0,0,0,0,5,0.15
27,2,10,0,0,0,0,0,0,0,6,0.15
27,2,10,0,0,0,0,0,0,0,7,0.15
27,2,10,0,0,0,0,0,1,2,8,0.15
27,2,10,0,0,0,0,0,1,0,9,0.15
27,2,10,0,0,0,0,0,0,1,10,0.15
28,7,12,0,2,0,2,44,44,44,0,0.15
28,7,12,0,2,0,2,44,59,58,1,0.15
28,7,12,0,2,0,2,44,62,62,2,0.15
28,7,12,0,2,0,2,44,64,63,3,0.15
28,7,12,0,2,0,2,44,64,63,4,0.15
28,7,12,0,2,0,2,44,64,64,5,0.15
28,7,12,0,2,0,2,44,63,63,6,0.15
28,7,12,0,2,0,2,44,64,62,7,0.15
28,7,12,0,2,0,2,44,64,64,8,0.15
28,7,12,0,2,0,2,44,66,64,9,0.15
28,7,12,0,2,0,2,44,64,64,10,0.15
29,10,1,1,0,1,0,62,62,62,0,0.15
29,10,1,1,0,1,0,62,66,66,1,0.15
29,10,1,1,0,1,0,62,66,66,2,0.15
29,10,1,1,0,1,0,62,66,66,3,0.15
29,10,1,1,0,1,0,62,66,66,4,0.15
29,10,1,1,0,1,0,62,66,66,5,0.15
29,10,1,1,0,1,0,62,66,66,6,0.15
29,10,1,1,0,1,0,62,66,66,7,0.15
29,10,1,1,0,1,0,62,66,66,8,0.15
29,10,1,1,0,1,0,62,66,66,9,0.15
29,10,1,1,0,1,0,62,66,66,10,0.15
30,2,4,0,0,0,0,7,7,7,0,0.15
30,2,4,0,0,0,0,7,8,10,1,0.15
30,2,4,0,0,0,0,7,9,12,2,0.15
30,2,4,0,0,0,0,7,7,10,3,0.15
30,2,4,0,0,0,0,7,10,12,4,0.15
30,2,4,0,0,0,0,7,9,11,5,0.15
30,2,4,0,0,0,0,7,11,11,6,0.15
30,2,4,0,0,0,0,7,11,11,7,0.15
30,2,4,0,0,0,0,7,11,9,8,0.15
30,2,4,0,0,0,0,7,12,11,9,0.15
30,2,4,0,0,0,0,7,11,11,10,0.15
31,6,12,0,1,0,1,36,36,36,0,0.15
31,6,12,0,1,0,1,36,50,49,1,0.15
31,6,12,0,1,0,1,36,53,50,2,0.15
31,6,12,0,1,0,1,36,55,52,3,0.15
31,6,12,0,1,0,1,36,52,53,4,0.15
31,6,12,0,1,0,1,36,53,54,5,0.15
31,6,12,0,1,0,1,36,52,54,6,0.15
31,6,12,0,1,0,1,36,52,53,7,0.15
31,6,12,0,1,0,1,36,52,53,8,0.15
31,6,12,0,1,0,1,36,53,53,9,0.15
31,6,12,0,1,0,1,36,53,54,10,0.15
32,9,3,1,0,1,0,58,58,58,0,0.15
32,9,3,1,0,1,0,58,66,66,1,0.15
32,9,3,1,0,1,0,58,66,66,2,0.15
32,9,3,1,0,1,0,58,66,66,3,0.15
32,9,3,1,0,1,0,58,66,66,4,0.15
32,9,3,1,0,1,0,58,66,66,5,0.15
32,9,3,1,0,1,0,58,66,66,6,0.15
32,9,3,1,0,1,0,58,66,66,7,0.15
32,9,3,1,0,1,0,58,66,66,8,0.15
32,9,3,1,0,1,0,58,66,66,9,0.15
32,9,3,1,0,1,0,58,66,66,10,0.15
33,9,6,1,2,1,2,58,58,58,0,0.15
33,9,6,1,2,1,2,58,66,66,1,0.15
33,9,6,1,2,1,2,58,66,66,2,0.15
33,9,6,1,2,1,2,58,66,66,3,0.15
33,9,6,1,2,1,2,58,66,66,4,0.15
33,9,6,1,2,1,2,58,66,66,5,0.15
33,9,6,1,2,1,2,58,66,66,6,0.15
33,9,6,1,2,1,2,58,66,66,7,0.15
33,9,6,1,2,1,2,58,66,66,8,0.15
33,9,6,1,2,1,2,58,66,66,9,0.15
33,9,6,1,2,1,2,58,66,66,10,0.15
34,2,1,1,0,1,0,4,4,4,0,0.15
34,2,1,1,0,1,0,4,5,4,1,0.15
34,2,1,1,0,1,0,4,5,5,2,0.15
34,2,1,1,0,1,0,4,5,5,3,0.15
34,2,1,1,0,1,0,4,6,6,4,0.15
34,2,1,1,0,1,0,4,6,5,5,0.15
34,2,1,1,0,1,0,4,7,4,6,0.15
34,2,1,1,0,1,0,4,7,4,7,0.15
34,2,1,1,0,1,0,4,6,5,8,0.15
34,2,1,1,0,1,0,4,7,5,9,0.15
34,2,1,1,0,1,0,4,7,6,10,0.15
35,2,5,0,2,0,2,6,6,6,0,0.15
35,2,5,0,2,0,2,6,9,8,1,0.15
35,2,5,0,2,0,2,6,9,9,2,0.15
35,2,5,0,2,0,2,6,10,9,3,0.15
35,2,5,0,2,0,2,6,9,10,4,0.15
35,2,5,0,2,0,2,6,10,10,5,0.15
35,2,5,0,2,0,2,6,10,8,6,0.15
35,2,5,0,2,0,2,6,11,10,7,0.15
35,2,5,0,2,0,2,6,11,9,8,0.15
35,2,5,0,2,0,2,6,8,9,9,0.15
35,2,5,0,2,0,2,6,8,9,10,0.15
36,5,3,0,1,0,1,25,25,25,0,0.15
36,5,3,0,1,0,1,25,33,33,1,0.15
36,5,3,0,1,0,1,25,33,35,2,0.15
36,5,3,0,1,0,1,25,35,37,3,0.15
36,5,3,0,1,0,1,25,36,36,4,0.15
36,5,3,0,1,0,1,25,36,36,5,0.15
36,5,3,0,1,0,1,25,36,38,6,0.15
36,5,3,0,1,0,1,25,35,37,7,0.15
36,5,3,0,1,0,1,25,36,36,8,0.15
36,5,3,0,1,0,1,25,39,37,9,0.15
36,5,3,0,1,0,1,25,37,38,10,0.15
37,3,10,1,0,1,0,10,10,10,0,0.15
37,3,10,1,0,1,0,10,13,12,1,0.15
37,3,10,1,0,1,0,10,14,13,2,0.15
37,3,10,1,0,1,0,10,17,14,3,0.15
37,3,10,1,0,1,0,10,14,15,4,0.15
37,3,10,1,0,1,0,10,14,17,5,0.15
37,3,10,1,0,1,0,10,15,15,6,0.15
37,3,10,1,0,1,0,10,15,13,7,0.15
37,3,10,1,0,1,0,10,17,12,8,0.15
37,3,10,1,0,1,0,10,16,13,9,0.15
37,3,10,1,0,1,0,10,15,15,10,0.15
38,4,7,0,2,0,2,16,16,16,0,0.15
38,4,7,0,2,0,2,16,22,22,1,0.15
38,4,7,0,2,0,2,16,23,23,2,0.15
38,4,7,0,2,0,2,16,22,25,3,0.15
38,4,7,0,2,0,2,16,21,25,4,0.15
38,4,7,0,2,0,2,16,22,23,5,0.15
38,4,7,0,2,0,2,16,25,24,6,0.15
38,4,7,0,2,0,2,16,24,24,7,0.15
38,4,7,0,2,0,2,16,25,24,8,0.15
38,4,7,0,2,0,2,16,25,23,9,0.15
