network_id,family_nodes,friend_nodes,family_active_nodes,friend_active_nodes,family_support,friend_support,initial_mfq,mfq_with_network,mfq_without_network,episode_number,increase_support_level
19,7,6,4,1,4,1,39,53,58,5,0.25
19,7,6,4,1,4,1,39,54,57,6,0.25
19,7,6,4,1,4,1,39,53,57,7,0.25
19,7,6,4,1,4,1,39,53,58,8,0.25
19,7,6,4,1,4,1,39,52,58,9,0.25
19,7,6,4,1,4,1,39,54,59,10,0.25
20,10,4,3,0,3,0,59,59,59,0,0.25
20,10,4,3,0,3,0,59,66,66,1,0.25
20,10,4,3,0,3,0,59,66,66,2,0.25
20,10,4,3,0,3,0,59,66,66,3,0.25
20,10,4,3,0,3,0,59,66,66,4,0.25
20,10,4,3,0,3,0,59,66,66,5,0.25
20,10,4,3,0,3,0,59,66,66,6,0.25
20,10,4,3,0,3,0,59,66,66,7,0.25
20,10,4,3,0,3,0,59,66,66,8,0.25
20,10,4,3,0,3,0,59,66,66,9,0.25
20,10,4,3,0,3,0,59,66,66,10,0.25
21,4,11,2,5,2,3,20,20,20,0,0.25
21,4,11,2,5,2,3,20,27,27,1,0.25
21,4,11,2,5,2,3,20,29,29,2,0.25
21,4,11,2,5,2,3,20,27,29,3,0.25
21,4,11,2,5,2,3,20,31,31,4,0.25
21,4,11,2,5,2,3,20,28,31,5,0.25
21,4,11,2,5,2,3,20,26,30,6,0.25
21,4,11,2,5,2,3,20,28,29,7,0.25
21,4,11,2,5,2,3,20,25,29,8,0.25
21,4,11,2,5,2,3,20,29,29,9,0.25
21,4,11,2,5,2,3,20,26,29,10,0.25
22,8,5,2,0,2,0,51,51,51,0,0.25
22,8,5,2,0,2,0,51,66,66,1,0.25
22,8,5,2,0,2,0,51,66,66,2,0.25
22,8,5,2,0,2,0,51,66,66,3,0.25
22,8,5,2,0,2,0,51,66,66,4,0.25
22,8,5,2,0,2,0,51,66,66,5,0.25
22,8,5,2,0,2,0,51,66,66,6,0.25
22,8,5,2,0,2,0,51,66,66,7,0.25
22,8,5,2,0,2,0,51,66,66,8,0.25
22,8,5,2,0,2,0,51,66,66,9,0.25
22,8,5,2,0,2,0,51,66,66,10,0.25
23,2,10,1,2,1,2,2,2,2,0,0.25
23,2,10,1,2,1,2,2,2,4,1,0.25
23,2,10,1,2,1,2,2,2,5,2,0.25
23,2,10,1,2,1,2,2,0,4,3,0.25
23,2,10,1,2,1,2,2,1,4,4,0.25
23,2,10,1,2,1,2,2,2,3,5,0.25
23,2,10,1,2,1,2,2,2,2,6,0.25
23,2,10,1,2,1,2,2,2,2,7,0.25
23,2,10,1,2,1,2,2,2,3,8,0.25
23,2,10,1,2,1,2,2,1,2,9,0.25
23,2,10,1,2,1,2,2,3,2,10,0.25
24,5,5,1,2,1,2,25,25,25,0,0.25
24,5,5,1,2,1,2,25,34,32,1,0.25
24,5,5,1,2,1,2,25,34,36,2,0.25
24,5,5,1,2,1,2,25,34,35,3,0.25
24,5,5,1,2,1,2,25,36,37,4,0.25
24,5,5,1,2,1,2,25,33,36,5,0.25
24,5,5,1,2,1,2,25,34,36,6,0.25
24,5,5,1,2,1,2,25,35,34,7,0.25
24,5,5,1,2,1,2,25,34,36,8,0.25
24,5,5,1,2,1,2,25,33,36,9,0.25
24,5,5,1,2,1,2,25,33,36,10,0.25
25,6,3,0,0,0,0,33,33,33,0,0.25
25,6,3,0,0,0,0,33,43,42,1,0.25
25,6,3,0,0,0,0,33,47,49,2,0.25
25,6,3,0,0,0,0,33,46,49,3,0.25
25,6,3,0,0,0,0,33,48,48,4,0.25
25,6,3,0,0,0,0,33,48,48,5,0.25
25,6,3,0,0,0,0,33,48,48,6,0.25
25,6,3,0,0,0,0,33,50,48,7,0.25
25,6,3,0,0,0,0,33,47,49,8,0.25
25,6,3,0,0,0,0,33,46,49,9,0.25
25,6,3,0,0,0,0,33,48,50,10,0.25
26,9,7,3,2,3,2,57,57,57,0,0.25
26,9,7,3,2,3,2,57,66,66,1,0.25
26,9,7,3,2,3,2,57,66,66,2,0.25
26,9,7,3,2,3,2,57,66,66,3,0.25
26,9,7,3,2,3,2,57,66,66,4,0.25
26,9,7,3,2,3,2,57,66,66,5,0.25
26,9,7,3,2,3,2,57,66,66,6,0.25
26,9,7,3,2,3,2,57,66,66,7,0.25
26,9,7,3,2,3,2,57,66,66,8,0.25
26,9,7,3,2,3,2,57,66,66,9,0.25
26,9,7,3,2,3,2,57,66,66,10,0.25
27,2,10,0,2,0,2,0,0,0,0,0.25
27,2,10,0,2,0,2,0,1,1,1,0.25
27,2,10,0,2,0,2,0,1,0,2,0.25
27,2,10,0,2,0,2,0,2,0,3,0.25
27,2,10,0,2,0,2,0,1,0,4,0.25
27,2,10,0,2,0,2,0,1,0,5,0.25
27,2,10,0,2,0,2,0,1,0,6,0.25
27,2,10,0,2,0,2,0,0,1,7,0.25
27,2,10,0,2,0,2,0,0,2,8,0.25
27,2,10,0,2,0,2,0,0,1,9,0.25
27,2,10,0,2,0,2,0,0,1,10,0.25
28,7,12,1,4,1,4,44,44,44,0,0.25
28,7,12,1,4,1,4,44,56,59,1,0.25
28,7,12,1,4,1,4,44,60,61,2,0.25
28,7,12,1,4,1,4,44,61,65,3,0.25
28,7,12,1,4,1,4,44,59,66,4,0.25
28,7,12,1,4,1,4,44,60,64,5,0.25
28,7,12,1,4,1,4,44,60,65,6,0.25
28,7,12,1,4,1,4,44,60,65,7,0.25
28,7,12,1,4,1,4,44,61,65,8,0.25
28,7,12,1,4,1,4,44,62,63,9,0.25
28,7,12,1,4,1,4,44,62,64,10,0.25
29,10,1,4,0,4,0,62,62,62,0,0.25
29,10,1,4,0,4,0,62,66,66,1,0.25
29,10,1,4,0,4,0,62,66,66,2,0.25
29,10,1,4,0,4,0,62,66,66,3,0.25
29,10,1,4,0,4,0,62,66,66,4,0.25
29,10,1,4,0,4,0,62,66,66,5,0.25
29,10,1,4,0,4,0,62,66,66,6,0.25
29,10,1,4,0,4,0,62,66,66,7,0.25
29,10,1,4,0,4,0,62,66,66,8,0.25
29,10,1,4,0,4,0,62,66,66,9,0.25
29,10,1,4,0,4,0,62,66,66,10,0.25
30,2,4,1,0,1,0,7,7,7,0,0.25
30,2,4,1,0,1,0,7,9,10,1,0.25
30,2,4,1,0,1,0,7,10,9,2,0.25
30,2,4,1,0,1,0,7,10,10,3,0.25
30,2,4,1,0,1,0,7,13,10,4,0.25
30,2,4,1,0,1,0,7,11,10,5,0.25
30,2,4,1,0,1,0,7,12,10,6,0.25
30,2,4,1,0,1,0,7,9,11,7,0.25
30,2,4,1,0,1,0,7,9,10,8,0.25
30,2,4,1,0,1,0,7,10,9,9,0.25
30,2,4,1,0,1,0,7,9,11,10,0.25
31,6,12,1,2,1,2,36,36,36,0,0.25
31,6,12,1,2,1,2,36,45,47,1,0.25
31,6,12,1,2,1,2,36,49,51,2,0.25
31,6,12,1,2,1,2,36,51,52,3,0.25
31,6,12,1,2,1,2,36,52,52,4,0.25
31,6,12,1,2,1,2,36,51,51,5,0.25
31,6,12,1,2,1,2,36,52,52,6,0.25
31,6,12,1,2,1,2,36,51,51,7,0.25
31,6,12,1,2,1,2,36,51,52,8,0.25
31,6,12,1,2,1,2,36,49,54,9,0.25
31,6,12,1,2,1,2,36,51,54,10,0.25
32,9,3,3,1,3,1,58,58,58,0,0.25
32,9,3,3,1,3,1,58,66,66,1,0.25
32,9,3,3,1,3,1,58,66,66,2,0.25
32,9,3,3,1,3,1,58,66,66,3,0.25
32,9,3,3,1,3,1,58,66,66,4,0.25
32,9,3,3,1,3,1,58,66,66,5,0.25
32,9,3,3,1,3,1,58,66,66,6,0.25
32,9,3,3,1,3,1,58,66,66,7,0.25
32,9,3,3,1,3,1,58,66,66,8,0.25
32,9,3,3,1,3,1,58,66,66,9,0.25
32,9,3,3,1,3,1,58,66,66,10,0.25
33,9,6,3,4,3,2,58,58,58,0,0.25
33,9,6,3,4,3,2,58,66,66,1,0.25
33,9,6,3,4,3,2,58,66,66,2,0.25
33,9,6,3,4,3,2,58,66,66,3,0.25
33,9,6,3,4,3,2,58,66,66,4,0.25
33,9,6,3,4,3,2,58,66,66,5,0.25
33,9,6,3,4,3,2,58,66,66,6,0.25
33,9,6,3,4,3,2,58,66,66,7,0.25
33,9,6,3,4,3,2,58,66,66,8,0.25
33,9,6,3,4,3,2,58,66,66,9,0.25
33,9,6,3,4,3,2,58,66,66,10,0.25
34,2,1,2,0,2,0,4,4,4,0,0.25
34,2,1,2,0,2,0,4,6,5,1,0.25
34,2,1,2,0,2,0,4,7,5,2,0.25
34,2,1,2,0,2,0,4,7,6,3,0.25
34,2,1,2,0,2,0,4,6,6,4,0.25
34,2,1,2,0,2,0,4,4,4,5,0.25
34,2,1,2,0,2,0,4,4,6,6,0.25
34,2,1,2,0,2,0,4,3,6,7,0.25
34,2,1,2,0,2,0,4,5,7,8,0.25
34,2,1,2,0,2,0,4,6,8,9,0.25
34,2,1,2,0,2,0,4,6,8,10,0.25
35,2,5,1,3,1,3,6,6,6,0,0.25
35,2,5,1,3,1,3,6,7,9,1,0.25
35,2,5,1,3,1,3,6,8,9,2,0.25
35,2,5,1,3,1,3,6,8,9,3,0.25
35,2,5,1,3,1,3,6,9,9,4,0.25
35,2,5,1,3,1,3,6,8,9,5,0.25
35,2,5,1,3,1,3,6,11,9,6,0.25
35,2,5,1,3,1,3,6,9,9,7,0.25
35,2,5,1,3,1,3,6,8,9,8,0.25
35,2,5,1,3,1,3,6,6,9,9,0.25
35,2,5,1,3,1,3,6,8,8,10,0.25
36,5,3,1,2,1,2,25,25,25,0,0.25
36,5,3,1,2,1,2,25,32,32,1,0.25
36,5,3,1,2,1,2,25,34,34,2,0.25
36,5,3,1,2,1,2,25,35,36,3,0.25
36,5,3,1,2,1,2,25,35,37,4,0.25
36,5,3,1,2,1,2,25,35,37,5,0.25
36,5,3,1,2,1,2,25,35,37,6,0.25
36,5,3,1,2,1,2,25,34,37,7,0.25
36,5,3,1,2,1,2,25,35,38,8,0.25
36,5,3,1,2,1,2,25,33,36,9,0.25
36,5,3,1,2,1,2,25,35,38,10,0.25
37,3,10,1,1,1,1,10,10,10,0,0.25
37,3,10,1,1,1,1,10,14,13,1,0.25
37,3,10,1,1,1,1,10,14,16,2,0.25
37,3,10,1,1,1,1,10,15,18,3,0.25
37,3,10,1,1,1,1,10,15,14,4,0.25
37,3,10,1,1,1,1,10,16,15,5,0.25
37,3,10,1,1,1,1,10,15,13,6,0.25
37,3,10,1,1,1,1,10,15,14,7,0.25
37,3,10,1,1,1,1,10,16,14,8,0.25
37,3,10,1,1,1,1,10,15,13,9,0.25
37,3,10,1,1,1,1,10,16,14,10,0.25
38,4,7,1,3,1,3,16,16,16,0,0.25
38,4,7,1,3,1,3,16,18,21,1,0.25
38,4,7,1,3,1,3,16,22,22,2,0.25
38,4,7,1,3,1,3,16,24,24,3,0.25
38,4,7,1,3,1,3,16,23,25,4,0.25
38,4,7,1,3,1,3,16,23,24,5,0.25
38,4,7,1,3,1,3,16,23,24,6,0.25
38,4,7,1,3,1,3,16,24,25,7,0.25
38,4,7,1,3,1,3,16,22,23,8,0.25
38,4,7,1,3,1,3,16,24,23,9,0.25
38,4,7,1,3,1,3,16,24,25,10,0.25
39,10,7,4,3,2,3,65,65,65,0,0.25
39,10,7,4,3,2,3,65,66,66,1,0.25
39,10,7,4,3,2,3,65,66,66,2,0.25
39,10,7,4,3,2,3,65,66,66,3,0.25
39,10,7,4,3,2,3,65,66,66,4,0.25
39,10,7,4,3,2,3,65,66,66,5,0.25
39,10,7,4,3,2,3,65,66,66,6,0.25
39,10,7,4,3,2,3,65,66,66,7,0.25
39,10,7,4,3,2,3,65,66,66,8,0.25
39,10,7,4,3,2,3,65,66,66,9,0.25
39,10,7,4,3,2,3,65,66,66,10,0.25
40,7,10,2,5,1,4,37,37,37,0,0.25
40,7,10,2,5,1,4,37,48,50,1,0.25
40,7,10,2,5,1,4,37,49,52,2,0.25
40,7,10,2,5,1,4,37,50,55,3,0.25
40,7,10,2,5,1,4,37,51,57,4,0.25
40,7,10,2,5,1,4,37,49,54,5,0.25
40,7,10,2,5,1,4,37,51,55,6,0.25
40,7,10,2,5,1,4,37,51,55,7,0.25
40,7,10,2,5,1,4,37,50,55,8,0.25
40,7,10,2,5,1,4,37,51,53,9,0.25
40,7,10,2,5,1,4,37,51,55,10,0.25
41,7,13,3,5,1,4,44,44,44,0,0.25
41,7,13,3,5,1,4,44,56,59,1,0.25
41,7,13,3,5,1,4,44,60,63,2,0.25
41,7,13,3,5,1,4,44,62,65,3,0.25
41,7,13,3,5,1,4,44,62,65,4,0.25
41,7,13,3,5,1,4,44,63,66,5,0.25
41,7,13,3,5,1,4,44,61,65,6,0.25
41,7,13,3,5,1,4,44,60,63,7,0.25
41,7,13,3,5,1,4,44,60,64,8,0.25
41,7,13,3,5,1,4,44,62,65,9,0.25
41,7,13,3,5,1,4,44,60,63,10,0.25
42,2,11,1,6,1,4,5,5,5,0,0.25
42,2,11,1,6,1,4,5,6,8,1,0.25
42,2,11,1,6,1,4,5,8,8,2,0.25
42,2,11,1,6,1,4,5,7,8,3,0.25
42,2,11,1,6,1,4,5,7,8,4,0.25
42,2,11,1,6,1,4,5,7,7,5,0.25
42,2,11,1,6,1,4,5,7,7,6,0.25
42,2,11,1,6,1,4,5,8,7,7,0.25
42,2,11,1,6,1,4,5,7,5,8,0.25
42,2,11,1,6,1,4,5,7,5,9,0.25
42,2,11,1,6,1,4,5,8,6,10,0.25
43,6,9,0,1,0,1,33,33,33,0,0.25
43,6,9,0,1,0,1,33,44,45,1,0.25
43,6,9,0,1,0,1,33,46,49,2,0.25
43,6,9,0,1,0,1,33,48,50,3,0.25
43,6,9,0,1,0,1,33,49,49,4,0.25
43,6,9,0,1,0,1,33,48,49,5,0.25
43,6,9,0,1,0,1,33,49,48,6,0.25
43,6,9,0,1,0,1,33,49,47,7,0.25
43,6,9,0,1,0,1,33,48,48,8,0.25
43,6,9,0,1,0,1,33,48,50,9,0.25
43,6,9,0,1,0,1,33,47,51,10,0.25
44,8,2,2,0,2,0,44,44,44,0,0.25
44,8,2,2,0,2,0,44,55,57,1,0.25
44,8,2,2,0,2,0,44,60,64,2,0.25
44,8,2,2,0,2,0,44,63,65,3,0.25
44,8,2,2,0,2,0,44,64,66,4,0.25
44,8,2,2,0,2,0,44,62,66,5,0.25
44,8,2,2,0,2,0,44,63,64,6,0.25
44,8,2,2,0,2,0,44,61,64,7,0.25
44,8,2,2,0,2,0,44,63,65,8,0.25
44,8,2,2,0,2,0,44,62,65,9,0.25
44,8,2,2,0,2,0,44,65,65,10,0.25
45,10,8,5,3,4,1,61,61,61,0,0.25
45,10,8,5,3,4,1,61,66,66,1,0.25
